id,vocalized,unvocalized,wordtype,root,wazn,category,gender,feminin,masculin,broken_plural,feminable,masculin_plural,feminin_plural,mamnou3_sarf,relative,plural_tanwin_nasb
1019,دَارِمٌ,دارم,فاعل:,درم,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1020,مُتَدَرْوِشٌ,متدروش,فاعل:,دروش,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1021,دَاسِرٌ,داسر,فاعل:,دسر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1022,مُنْدَسٌّ,مندس,فاعل:,دسس,مُنْفَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1023,دَاسِعٌ,داسع,فاعل:,دسع,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1024,مُدْسِمٌ,مدسم,فاعل:,دسم,مُفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1025,دَاشِنٌ,داشن,فاعل:,دشن,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1026,مُدَشِّنٌ,مدشن,فاعل:,دشن,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1027,مُدَاعِبٌ,مداعب,فاعل:,دعب,,فاعل,مذكر,,,,1,1,1,0,0,
1028,دَاعِبٌ,داعب,فاعل:,دعب,,فاعل,مذكر,,,,1,1,1,0,0,
1029,مُتَدَاعِبٌ,متداعب,فاعل:,دعب,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1030,دَاعِثٌ,داعث,فاعل:,دعث,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1031,دَاعِرٌ,داعر,فاعل:,دعر,,فاعل,مذكر,,,دُعَّارٌ,1,1,1,0,0,
1032,دَاعِصٌ,داعص,فاعل:,دعص,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1033,دَاعِقٌ,داعق,فاعل:,دعق,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1034,دَاعِكٌ,داعك,فاعل:,دعك,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1035,دَاعِمٌ,داعم,فاعل:,دعم,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1036,مُدَعِّمٌ,مدعم,فاعل:,دعم,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1037,مُدَّعِي,مدعي,فاعل:,دعو,,فاعل,مذكر,,,,1,1,1,0,0,
1038,مُسْتَدْعِي,مستدعي,فاعل:,دعو,,فاعل,مذكر,,,,1,1,1,0,0,
1039,دَاعِي,داعي,فاعل:,دعو,,فاعل,مذكر,,,دُعَاةٌ;دَوَاعٍ;الدَّوَاعِي,1,1,1,0,0,
1040,دَاغِرٌ,داغر,فاعل:,دغر,,فاعل,مذكر,,,,1,1,1,0,0,
1041,دَاغِمٌ,داغم,فاعل:,دغم,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1042,مُنْدَفِعٌ,مندفع,فاعل:,دفع,,فاعل,مذكر,,,,1,1,1,0,0,
1043,مُدَافِعٌ,مدافع,فاعل:,دفع,,فاعل,مذكر,,,,1,1,1,0,0,
1044,دَافِعٌ,دافع,فاعل:,دفع,,فاعل,مذكر,,,دَوَافِعُ,1,1,1,0,0,
1045,مُتَدَافِعٌ,متدافع,فاعل:,دفع,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1046,مُتَدَفِّقٌ,متدفق,فاعل:,دفق,,فاعل,مذكر,,,,1,0,1,0,0,
1047,دَافِقٌ,دافق,فاعل:,دفق,,فاعل,مذكر,,,,1,0,1,0,0,
1048,مُنْدَفِقٌ,مندفق,فاعل:,دفق,مُنْفَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1049,دَافِنٌ,دافن,فاعل:,دفن,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1050,مُنْدَفِنٌ,مندفن,فاعل:,دفن,مُنْفَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1051,مُدْقِعٌ,مدقع,فاعل:,دقع,,فاعل,مذكر,,,,1,1,1,0,0,
1052,مُدَقِّقٌ,مدقق,فاعل:,دقق,,فاعل,مذكر,,,,1,1,1,0,0,
1053,مُنْدَقٌّ,مندق,فاعل:,دقق,مُنْفَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1054,مُدَكِّكٌ,مدكك,فاعل:,دكك,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1055,مُنْدَكٌّ,مندك,فاعل:,دكك,مُنْفَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1056,دَاكِنٌ,داكن,فاعل:,دكن,,فاعل,مذكر,,,,1,0,1,0,0,
1057,مُدْكِنٌ,مدكن,فاعل:,دكن,مُفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1058,دَالِجٌ,دالج,فاعل:,دلج,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1059,مُدْلِجٌ,مدلج,فاعل:,دلج,مُفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1060,مُدَلِّسٌ,مدلس,فاعل:,دلس,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1061,مُنْدَلِسٌ,مندلس,فاعل:,دلس,مُنْفَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1062,مُنْدَلِعٌ,مندلع,فاعل:,دلع,مُنْفَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1063,دَالِفٌ,دالف,فاعل:,دلف,,فاعل,مذكر,,,دُلَّفٌ;دُلُفٌ,1,1,1,0,0,
1064,دَالِقٌ,دالق,فاعل:,دلق,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1065,مُدَلِّكٌ,مدلك,فاعل:,دلك,,فاعل,مذكر,,,,1,1,1,0,0,
1066,دَالِكٌ,دالك,فاعل:,دلك,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1067,مُتَدَلِّكٌ,متدلك,فاعل:,دلك,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1068,مُدَلِّلٌ,مدلل,فاعل:,دلل,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1069,مُتَدَلِّلٌ,متدلل,فاعل:,دلل,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1070,مُتَدَلِّهٌ,متدله,فاعل:,دله,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1071,مُدْلَهِمٌّ,مدلهم,فاعل:,دلهم,مُفْعَلِلٌّ,فاعل,مذكر,,,,1,1,1,0,0,
1072,مُتَدَلِّي,متدلي,فاعل:,دلي,,فاعل,مذكر,,,,1,1,1,0,0,
1073,مُنْدَمِجٌ,مندمج,فاعل:,دمج,,فاعل,مذكر,,,,1,1,1,0,0,
1074,دَامِجٌ,دامج,فاعل:,دمج,,فاعل,مذكر,,,,1,1,1,0,0,
1075,مُدَمْدِمٌ,مدمدم,فاعل:,دمدم,,فاعل,مذكر,,,,1,1,1,0,0,
1076,مُدَمِّرٌ,مدمر,فاعل:,دمر,,فاعل,مذكر,,,,1,1,1,0,0,
1077,دَامِسٌ,دامس,فاعل:,دمس,,فاعل,مذكر,,,,1,0,1,0,0,
1078,دَامِعٌ,دامع,فاعل:,دمع,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1079,مُدْمِعٌ,مدمع,فاعل:,دمع,مُفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1080,دَامِغٌ,دامغ,فاعل:,دمغ,,فاعل,مذكر,,,,1,0,1,0,0,
1081,دَامِلٌ,دامل,فاعل:,دمل,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1082,مُدَمْلِجٌ,مدملج,فاعل:,دملج,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1083,مُدْمِنٌ,مدمن,فاعل:,دمن,,فاعل,مذكر,,,,1,1,1,0,0,
1084,دَامِنٌ,دامن,فاعل:,دمن,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1085,دَامِي,دامي,فاعل:,دمي,,فاعل,مذكر,,,,1,0,1,0,0,
1086,مُدَنْدِنٌ,مدندن,فاعل:,دندن,,فاعل,مذكر,,,,1,1,1,0,0,
1087,مُدَنِّسٌ,مدنس,فاعل:,دنس,,فاعل,مذكر,,,,1,1,1,0,0,
1088,مُتَدَنِّسٌ,متدنس,فاعل:,دنس,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
