id,vocalized,unvocalized,wordtype,root,wazn,category,gender,feminin,masculin,broken_plural,feminable,masculin_plural,feminin_plural,mamnou3_sarf,relative,plural_tanwin_nasb
0,مُتَّخِذٌ,متخذ,فاعل:,ءخذ,مُفْتَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1,مُتَأَبِّطٌ,متأبط,فاعل:,أبط,,فاعل,مذكر,,,,1,1,1,0,0,
2,آتِي,آتي,فاعل:,أتي,,فاعل,مذكر,,,,1,1,1,0,0,
3,مُؤَثِّرٌ,مؤثر,فاعل:,أثر,,فاعل,مذكر,,,,1,1,1,0,0,
4,مُسْتَأْثِرٌ,مستأثر,فاعل:,أثر,,فاعل,مذكر,,,,1,1,1,0,0,
5,مُتَأَثِّرٌ,متأثر,فاعل:,أثر,,فاعل,مذكر,,,,1,1,1,0,0,
6,آثِمٌ,آثم,فاعل:,أثم,,فاعل,مذكر,,,,1,1,1,0,0,
7,مُتَأَجِّجٌ,متأجج,فاعل:,أجج,,فاعل,مذكر,,,,1,1,1,0,0,
8,مُؤَجِّرٌ,مؤجر,فاعل:,أجر,,فاعل,مذكر,,,,1,1,1,0,0,
9,مُسْتَأْجِرٌ,مستأجر,فاعل:,أجر,,فاعل,مذكر,,,,1,1,1,0,0,
10,مُؤَجِّلٌ,مؤجل,فاعل:,أجل,,فاعل,مذكر,,,,1,1,1,0,0,
11,مُؤَخِّرٌ,مؤخر,فاعل:,أخر,,فاعل,مذكر,,,,1,1,1,0,0,
12,مُتَأَخِّرٌ,متأخر,فاعل:,أخر,,فاعل,مذكر,,,,1,1,1,0,0,
13,مُؤَدِّبٌ,مؤدب,فاعل:,أدب,,فاعل,مذكر,,,,1,1,1,0,0,
14,مُتَأَدِّبٌ,متأدب,فاعل:,أدب,,فاعل,مذكر,,,,1,1,1,0,0,
15,مُؤَدِّي,مؤدي,فاعل:,أدي,,فاعل,مذكر,,,,1,1,1,0,0,
16,مُؤَذِّنٌ,مؤذن,فاعل:,أذن,,فاعل,مذكر,,,,1,1,1,0,0,
17,مُؤْذِي,مؤذي,فاعل:,أذي,,فاعل,مذكر,,,,1,1,1,0,0,
18,مُؤََارِبٌ,مؤارب,فاعل:,أرب,,فاعل,مذكر,,,,1,1,1,0,0,
19,مُؤَرِّخٌ,مؤرخ,فاعل:,أرخ,,فاعل,مذكر,,,,1,1,1,0,0,
20,مُؤْتَزِرٌ,مؤتزر,فاعل:,أزر,,فاعل,مذكر,,,,1,1,1,0,0,
21,مُؤَسِّسٌ,مؤسس,فاعل:,أسس,,فاعل,مذكر,,,,1,1,1,0,0,
22,مُؤْسِفٌ,مؤسف,فاعل:,أسف,,فاعل,مذكر,,,,1,0,1,0,0,
23,آسِفٌ,آسف,فاعل:,أسف,,فاعل,مذكر,,,,1,1,1,0,0,
24,مُتَأَسِّفٌ,متأسف,فاعل:,أسف,,فاعل,مذكر,,,,1,1,1,0,0,
25,آسِنٌ,آسن,فاعل:,أسن,,فاعل,مذكر,,,,1,0,1,0,0,
26,مُؤَشِّرٌ,مؤشر,فاعل:,أشر,,فاعل,مذكر,,,,1,0,1,0,0,
27,مُتَأَصِّلٌ,متأصل,فاعل:,أصل,,فاعل,مذكر,,,,1,1,1,0,0,
28,آفِلٌ,آفل,فاعل:,أفل,,فاعل,مذكر,,,أُفَّلٌ;أُفُولُ,1,1,1,0,0,
29,مُتَأَقْلِمٌ,متأقلم,فاعل:,أقلم,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
30,مُؤَكِّدٌ,مؤكد,فاعل:,أكد,,فاعل,مذكر,,,,1,1,1,0,0,
31,مُتَأَكِّدٌ,متأكد,فاعل:,أكد,,فاعل,مذكر,,,,1,1,1,0,0,
32,مُؤِكْسِدٌ,مؤكسد,فاعل:,أكسد,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
33,مُتَأَكْسِدٌ,متأكسد,فاعل:,أكسد,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
34,مُتَآلِفٌ,متآلف,فاعل:,ألف,,فاعل,مذكر,,,,1,1,1,0,0,
35,مُؤَلِّفٌ,مؤلف,فاعل:,ألف,,فاعل,مذكر,,,,1,1,1,0,0,
36,مُؤْتَلِفٌ,مؤتلف,فاعل:,ألف,,فاعل,مذكر,,,,1,1,1,0,0,
37,مُتَأَلِّقٌ,متألق,فاعل:,ألق,,فاعل,مذكر,,,,1,1,1,0,0,
38,مُؤْلِمٌ,مؤلم,فاعل:,ألم,,فاعل,مذكر,,,,1,1,1,0,0,
39,آمِرٌ,آمر,فاعل:,أم.ر,,فاعل,مذكر,,,,1,1,1,0,0,
40,آمِنٌ,آمن,فاعل:,أم.ن,,فاعل,مذكر,,,,1,1,1,0,0,
41,مُؤْتَمِرٌ,مؤتمر,فاعل:,أمر,,فاعل,مذكر,,,,1,1,1,0,0,
42,مُتَآمِرٌ,متآمر,فاعل:,أمر,,فاعل,مذكر,,,,1,1,1,0,0,
43,مُتَأَمْرِكٌ,متأمرك,فاعل:,أمرك,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
44,مُتَأَمِّلٌ,متأمل,فاعل:,أمل,,فاعل,مذكر,,,,1,1,1,0,0,
45,مُؤَمِّلٌ,مؤمل,فاعل:,أمل,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
46,مُؤْمِنٌ,مؤمن,فاعل:,أمن,,فاعل,مذكر,,,,1,1,1,0,0,
47,مُؤْنِسٌ,مؤنس,فاعل:,أنس,,فاعل,مذكر,,,,1,1,1,0,0,
48,مُسْتَأْنِفٌ,مستأنف,فاعل:,أنف,,فاعل,مذكر,,,,1,1,1,0,0,
49,مُتَأَنِّقٌ,متأنق,فاعل:,أنق,,فاعل,مذكر,,,,1,1,1,0,0,
50,مُتَأَنِّي,متأني,فاعل:,أني,,فاعل,مذكر,,,,1,1,1,0,0,
51,مُتَأَهِّبٌ,متأهب,فاعل:,أهب,,فاعل,مذكر,,,,1,1,1,0,0,
52,مُسْتَأْهِلٌ,مستأهل,فاعل:,أهل,,فاعل,مذكر,,,,1,1,1,0,0,
53,آهِلٌ,آهل,فاعل:,أهل,,فاعل,مذكر,,,,1,0,1,0,0,
54,مُتَأَهِّلٌ,متأهل,فاعل:,أهل,,فاعل,مذكر,,,,1,1,1,0,0,
55,مُتَأَوِّهٌ,متأوه,فاعل:,أوه,,فاعل,مذكر,,,,1,1,1,0,0,
56,مُؤَيِّدٌ,مؤيد,فاعل:,أيد,,فاعل,مذكر,,,,1,1,1,0,0,
57,بَائِسٌ,بائس,فاعل:,بأس,,فاعل,مذكر,,,بُؤْسٌ;بُؤسَاءٌ,1,1,1,0,0,
58,مُنْبَتٌّ,منبت,فاعل:,بتت,,فاعل,مذكر,,,,1,1,1,0,0,
59,بَاتٌّ,بات,فاعل:,بتت,,فاعل,مذكر,,,,1,1,1,0,0,
60,بَاتِرٌ,باتر,فاعل:,بتر,,فاعل,مذكر,,,بَواتِرُ,1,1,1,0,0,
61,بَاثٌّ,باث,فاعل:,بتت,,فاعل,مذكر,,,,1,1,1,0,0,
62,مُبَخِّرٌ,مبخر,فاعل:,بخر,,فاعل,مذكر,,,,1,1,1,0,0,
63,بَاجِحٌ,باجح,فاعل:,بجح,,فاعل,مذكر,,,,1,1,1,0,0,
64,بَاحِثٌ,باحث,فاعل:,بحث,,فاعل,مذكر,,,+ات بُحَّاثٌ,1,1,1,0,0,
65,مُتَبَتِّلٌ,متبتل,فاعل:,بتل,,فاعل,مذكر,,,,1,1,1,0,0,
66,مُنْبَثٌّ,منبث,فاعل:,بثث,,فاعل,مذكر,,,,1,0,1,0,0,
67,مُنْبَثِقٌ,منبثق,فاعل:,بثث,,فاعل,مذكر,,,,1,0,1,0,0,
68,مُتَبَجِّحٌ,متبجح,فاعل:,بجح,,فاعل,مذكر,,,,1,1,1,0,0,
69,مُتَبَاجِحٌ,متباجح,فاعل:,بجح,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
70,مُتَبَاحِثٌ,متباحث,فاعل:,بحث,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
71,مُتَبَحِّرٌ,متبحر,فاعل:,بحر,,فاعل,مذكر,,,,1,1,1,0,0,
72,مُتَبَخْتِرٌ,متبختر,فاعل:,بحر,,فاعل,مذكر,,,,1,1,1,0,0,
73,مُتَبَدِّلٌ,متبدل,فاعل:,بحر,,فاعل,مذكر,,,,1,1,1,0,0,
74,مُبْحِرٌ,مبحر,فاعل:,بحر,مُفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
75,بَاخِرٌ,باخر,فاعل:,بخر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
76,مُتَبَخِّرٌ,متبخر,فاعل:,بخر,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
77,بَاخِسٌ,باخس,فاعل:,بخس,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
78,مُبْتَدِئٌ,مبتدئ,فاعل:,بدأ,,فاعل,مذكر,,,,1,1,1,0,0,
79,مُبْدِئٌ,مبدئ,فاعل:,بدأ,,فاعل,مذكر,,,,1,1,1,0,0,
80,بَادِئٌ,بادئ,فاعل:,بدأ,,فاعل,مذكر,,,,1,1,1,0,0,
81,مُسْتَبِدٌّ,مستبد,فاعل:,بدد,,فاعل,مذكر,,,,1,1,1,0,0,
82,مُتَبَدِّدٌ,متبدد,فاعل:,بدد,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
83,بَادِرٌ,بادر,فاعل:,بدر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
84,مُتَبَادِرٌ,متبادر,فاعل:,بدر,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
85,مُبْدِعٌ,مبدع,فاعل:,بدع,,فاعل,مذكر,,,,1,1,1,0,0,
86,مُبْتَدِعٌ,مبتدع,فاعل:,بدع,,فاعل,مذكر,,,,1,1,1,0,0,
87,بَادِعٌ,بادع,فاعل:,بدع,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
88,مُتَبَادِلٌ,متبادل,فاعل:,بدل,,فاعل,مذكر,,,,1,1,1,0,0,
89,مُسْتَبْدِلٌ,مستبدل,فاعل:,بدل,مُسْتَفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
90,بَادِنٌ,بادن,فاعل:,بدن,,فاعل,مذكر,,,بُدْنُ,1,0,0,0,0,
91,بَادِي,بادي,فاعل:,بدو,,فاعل,مذكر,,,,1,1,1,0,0,
92,مُبَدِّدٌ,مبدد,فاعل:,بدو,,فاعل,مذكر,,,,1,1,1,0,0,
93,مُبَدِّلٌ,مبدل,فاعل:,بدو,,فاعل,مذكر,,,,1,1,1,0,0,
94,مُبْدِي,مبدي,فاعل:,بدي,مُفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
95,بَاذِخٌ,باذخ,فاعل:,بذخ,,فاعل,مذكر,,,بُذَّخٌ;بَوَاذِخُ,1,1,1,0,0,
96,مُبَذِّرٌ,مبذر,فاعل:,بذر,,فاعل,مذكر,,,,1,1,1,0,0,
97,بَاذِرٌ,باذر,فاعل:,بذر,,فاعل,مذكر,,,,1,1,1,0,0,
98,مُبْتَذِلٌ,مبتذل,فاعل:,بذل,مُفْتَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
99,بَارِي,باري,فاعل:,برأ,,فاعل,مذكر,,,,1,1,1,0,0,
100,بَارِئٌ,بارئ,فاعل:,برأ,,فاعل,مذكر,,,,1,1,1,0,0,
101,مُبَرْبِرٌ,مبربر,فاعل:,بربر,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
102,مُتَبَرِّجٌ,متبرج,فاعل:,برج,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
103,مُبَرِّحٌ,مبرح,فاعل:,برح,,فاعل,مذكر,,,,1,0,1,0,0,
104,بَاذِلٌ,باذل,فاعل:,بذل,,فاعل,مذكر,,,,1,1,1,0,0,
105,بَارِحٌ,بارح,فاعل:,برح,,فاعل,مذكر,,,بَوَارِحُ,1,1,1,0,0,
106,مُبَارِحٌ,مبارح,فاعل:,برح,مُفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
107,مُبَرِّدٌ,مبرد,فاعل:,برد,,فاعل,مذكر,,,,1,1,1,0,0,
108,مُبْرِدٌ,مبرد,فاعل:,برد,,فاعل,مذكر,,,,1,1,1,0,0,
109,بَارِدٌ,بارد,فاعل:,برد,,فاعل,مذكر,,,,1,1,1,0,0,
110,مُتَبَرِّدٌ,متبرد,فاعل:,برد,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
111,بَارٌّ,بار,فاعل:,برر,,فاعل,مذكر,,,أَبْرَارٌ;بَرَرَةٌ,1,1,1,0,0,
112,مُبَرِّرٌ,مبرر,فاعل:,برر,,فاعل,مذكر,,,,1,1,1,0,0,
113,مُبَارِزٌ,مبارز,فاعل:,برز,,فاعل,مذكر,,,,1,1,1,0,0,
114,بَارِزٌ,بارز,فاعل:,برز,,فاعل,مذكر,,,,1,1,1,0,0,
115,مُتَبَارِزٌ,متبارز,فاعل:,برز,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
116,مُتَبَرِّزٌ,متبرز,فاعل:,برز,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
117,بَارِصٌ,بارص,فاعل:,برص,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
118,مُبَرْطِلٌ,مبرطل,فاعل:,برطل,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
119,بَارِعٌ,بارع,فاعل:,برع,,فاعل,مذكر,,,,1,1,1,0,0,
120,مُتَبَرِّعٌ,متبرع,فاعل:,برع,,فاعل,مذكر,,,,1,1,1,0,0,
121,مُتَبَرْعِمٌ,متبرعم,فاعل:,برعم,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
122,مُبْرِقٌ,مبرق,فاعل:,برق,,فاعل,مذكر,,,,1,1,1,0,0,
123,مُبْرِمٌ,مبرم,فاعل:,برق,,فاعل,مذكر,,,,1,1,1,0,0,
124,بَارِقٌ,بارق,فاعل:,برق,,فاعل,مذكر,,,بوارقُ,1,0,1,0,0,
125,مُبَرْقِشٌ,مبرقش,فاعل:,برقش,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
126,مُتَبَارِكٌ,متبارك,فاعل:,برك,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
127,مُتَبَرِّكٌ,متبرك,فاعل:,برك,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
128,مُسْتَبْرِكٌ,مستبرك,فاعل:,برك,مُسْتَفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
129,مُتَبَرِّمٌ,متبرم,فاعل:,برم,,فاعل,مذكر,,,,1,1,1,0,0,
130,بَارِمٌ,بارم,فاعل:,برم,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
131,مُنْبَرِمٌ,منبرم,فاعل:,برم,مُنْفَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
132,مُبَرْمِجٌ,مبرمج,فاعل:,برمج,,فاعل,مذكر,,,,1,1,1,0,0,
133,مُبَرْهِنٌ,مبرهن,فاعل:,برهن,,فاعل,مذكر,,,,1,1,1,0,0,
134,مُبَرْوِزٌ,مبروز,فاعل:,بروز,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
135,مُتَبَارِي,متباري,فاعل:,بري,,فاعل,مذكر,,,,1,1,1,0,0,
136,بَازِغٌ,بازغ,فاعل:,بزغ,,فاعل,مذكر,,,بَوازِغُ,1,0,1,0,0,
137,بَازِقٌ,بازق,فاعل:,بزق,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
138,بَازِلٌ,بازل,فاعل:,بزل,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
139,مُبَسْتِرٌ,مبستر,فاعل:,بستر,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
140,بَاسِرٌ,باسر,فاعل:,بسر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
141,مُنْبَسِطٌ,منبسط,فاعل:,بسط,,فاعل,مذكر,,,,1,1,1,0,0,
142,مُبَسِّطٌ,مبسط,فاعل:,بسط,,فاعل,مذكر,,,,1,1,1,0,0,
143,بَاسِطٌ,باسط,فاعل:,بسط,,فاعل,مذكر,,,,1,1,1,0,0,
144,مُبَاسِطٌ,مباسط,فاعل:,بسط,مُفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
145,مُتَبَسِّطٌ,متبسط,فاعل:,بسط,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
146,بَاسِقٌ,باسق,فاعل:,بسق,,فاعل,مذكر,,,,1,0,1,0,0,
147,بَاسِلٌ,باسل,فاعل:,بسل,,فاعل,مذكر,,,بَوَاسِلُ,1,1,1,0,0,
148,مُسْتَبْسِلٌ,مستبسل,فاعل:,بسل,مُسْتَفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
149,مُبْتَسِمٌ,مبتسم,فاعل:,بسم,,فاعل,مذكر,,,,1,1,1,0,0,
150,بَاسِمٌ,باسم,فاعل:,بسم,,فاعل,مذكر,,,,1,1,1,0,0,
151,مُتَبَسِّمٌ,متبسم,فاعل:,بسم,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
152,مُبَسْمِلٌ,مبسمل,فاعل:,بسمل,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
153,مُسْتَبْشِرٌ,مستبشر,فاعل:,بشر,,فاعل,مذكر,,,,1,1,1,0,0,
154,مُبَاشِرٌ,مباشر,فاعل:,بشر,,فاعل,مذكر,,,,1,1,1,0,0,
155,مُبَشِّرٌ,مبشر,فاعل:,بشر,,فاعل,مذكر,,,,1,1,1,0,0,
156,بَاشِرٌ,باشر,فاعل:,بشر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
157,بَاشٌّ,باش,فاعل:,بشش,,فاعل,مذكر,,,,1,1,1,0,0,
158,مُسْتَبْشِعٌ,مستبشع,فاعل:,بشع,مُسْتَفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
159,بَاصِرٌ,باصر,فاعل:,بصر,,فاعل,مذكر,,,بَوَاصِرُ,1,1,1,0,0,
160,مُبْصِرٌ,مبصر,فاعل:,بصر,,فاعل,مذكر,,,,1,1,1,0,0,
161,مُتَبَصِّرٌ,متبصر,فاعل:,بصر,,فاعل,مذكر,,,,1,1,1,0,0,
162,مُسْتَبْصِرٌ,مستبصر,فاعل:,بصر,مُسْتَفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
163,بَاصِقٌ,باصق,فاعل:,بصق,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
164,بَاصِمٌ,باصم,فاعل:,بصم,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
165,بَاضِعٌ,باضع,فاعل:,بضع,,فاعل,مذكر,,,,1,0,1,0,0,
166,مُتَبَضِّعٌ,متبضع,فاعل:,بضع,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
167,مُتَبَاطِئٌ,متباطئ,فاعل:,بطأ,,فاعل,مذكر,,,,1,1,1,0,0,
168,مُنْبَطِحٌ,منبطح,فاعل:,بطح,,فاعل,مذكر,,,,1,1,1,0,0,
169,بَاطِحٌ,باطح,فاعل:,بطح,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
170,بَاطِرٌ,باطر,فاعل:,بطر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
171,بَاطِشٌ,باطش,فاعل:,بطش,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
172,مُبْطِلٌ,مبطل,فاعل:,بطل,,فاعل,مذكر,,,,1,1,1,0,0,
173,بَاطِلٌ,باطل,فاعل:,بطل,,فاعل,مذكر,,,أبَاطِيلُ,1,0,1,0,0,
174,بَاطِنٌ,باطن,فاعل:,بطن,,فاعل,مذكر,,,بَوَاطِنُ,1,0,1,0,0,
175,مُسْتَبْطِنٌ,مستبطن,فاعل:,بطن,مُسْتَفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
176,بَاعِثٌ,باعث,فاعل:,بعث,,فاعل,مذكر,,,بَوَاعِثُ,1,1,1,0,0,
177,مُنْبَعِثٌ,منبعث,فاعل:,بعث,مُنْفَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
178,مُبَعْثِرٌ,مبعثر,فاعل:,بعثر,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
179,مُتَبَعْثِرٌ,متبعثر,فاعل:,بعثر,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
180,مُتَبَاعِدٌ,متباعد,فاعل:,بعد,,فاعل,مذكر,,,,1,1,1,0,0,
181,مُبَاعِدٌ,مباعد,فاعل:,بعد,مُفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
182,مُبْتَعِدٌ,مبتعد,فاعل:,بعد,مُفْتَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
183,بَاعِرٌ,باعر,فاعل:,بعر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
184,بَاغِتٌ,باغت,فاعل:,بغت,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
185,مُبَاغِتٌ,مباغت,فاعل:,بغث,,فاعل,مذكر,,,,1,1,1,0,0,
186,مُبْغِضٌ,مبغض,فاعل:,بغض,,فاعل,مذكر,,,,1,1,1,0,0,
187,بَاغِضٌ,باغض,فاعل:,بغض,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
188,مُتَبَاغِضٌ,متباغض,فاعل:,بغض,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
189,بَاغِي,باغي,فاعل:,بغي,,فاعل,مذكر,,,بُغاةٌ,1,1,1,0,0,
190,بَاقِرٌ,باقر,فاعل:,بقر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
191,مُبَقِّعٌ,مبقع,فاعل:,بقع,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
192,بَاقِي,باقي,فاعل:,بقي,,فاعل,مذكر,,,,1,1,1,0,0,
193,مُتَبَقِّي,متبقي,فاعل:,بقي,,فاعل,مذكر,,,,1,1,1,0,0,
194,مُبْتَكِرٌ,مبتكر,فاعل:,بكر,,فاعل,مذكر,,,,1,1,1,0,0,
195,مُبَكِّرٌ,مبكر,فاعل:,بكر,,فاعل,مذكر,,,,1,1,1,0,0,
196,بَاكِرٌ,باكر,فاعل:,بكر,,فاعل,مذكر,,,بَواكِرُ,0,0,0,0,0,
197,بَاكِمٌ,باكم,فاعل:,بكم,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
198,بَاكِي,باكي,فاعل:,بكي,,فاعل,مذكر,,,بُكَاةٌ;باكِياتٌ,1,1,1,0,0,
199,مُبْكِي,مبكي,فاعل:,بكي,,فاعل,مذكر,,,,1,1,1,0,0,
200,مُتَبَاكِي,متباكي,فاعل:,بكي,,فاعل,مذكر,,,,1,1,1,0,0,
201,مُتَبَلْبِلٌ,متبلبل,فاعل:,بلبل,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
202,مُتَبَلِّجٌ,متبلج,فاعل:,بلج,,فاعل,مذكر,,,,1,0,1,0,0,
203,مُتَبَلِّدٌ,متبلد,فاعل:,بلد,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
204,مُبَلْسِمٌ,مبلسم,فاعل:,بلسم,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
205,مُبَلِّطٌ,مبلط,فاعل:,بلط,,فاعل,مذكر,,,,1,1,1,0,0,
206,بَالِعٌ,بالع,فاعل:,بلع,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
207,مُبْتَلِعٌ,مبتلع,فاعل:,بلع,مُفْتَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
208,مُتَبَلِّعٌ,متبلع,فاعل:,بلع,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
209,مُبَلْعِمٌ,مبلعم,فاعل:,بلعم,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
210,مُبَلِّغٌ,مبلغ,فاعل:,بلغ,,فاعل,مذكر,,,,1,1,1,0,0,
211,بَالِغٌ,بالغ,فاعل:,بلغ,,فاعل,مذكر,,,,1,1,1,0,0,
212,مُبَالِغٌ,مبالغ,فاعل:,بلغ,مُفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
213,مُتَبَلِّغٌ,متبلغ,فاعل:,بلغ,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
214,مُتَبَلِّلٌ,متبلل,فاعل:,بلل,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
215,مُبَلْوِرٌ,مبلور,فاعل:,بلور,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
216,مُتَبَلْوِرٌ,متبلور,فاعل:,بلور,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
217,بَالِي,بالي,فاعل:,بلي,,فاعل,مذكر,,,,1,0,1,0,0,
218,مُبَالِي,مبالي,فاعل:,بلي,,فاعل,مذكر,,,,1,1,1,0,0,
219,مُبَنِّجٌ,مبنج,فاعل:,بنج,,فاعل,مذكر,,,,1,1,1,0,0,
220,بَانِي,باني,فاعل:,بني,,فاعل,مذكر,,,بُنَاةٌ,1,1,1,0,0,
221,مُتَبَنِّي,متبني,فاعل:,بني,,فاعل,مذكر,,,,1,1,1,0,0,
222,بَاهِتٌ,باهت,فاعل:,بهت,,فاعل,مذكر,,,,1,0,1,0,0,
223,مُبْتَهِجٌ,مبتهج,فاعل:,بهج,,فاعل,مذكر,,,,1,1,1,0,0,
224,مُبْهِجٌ,مبهج,فاعل:,بهج,,فاعل,مذكر,,,,1,1,1,0,0,
225,بَاهِجٌ,باهج,فاعل:,بهج,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
226,مُتَبَهِّجٌ,متبهج,فاعل:,بهج,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
227,مُبَهْدِلٌ,مبهدل,فاعل:,بهدل,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
228,مُبْهِرٌ,مبهر,فاعل:,بهر,,فاعل,مذكر,,,,1,1,1,0,0,
229,بَاهِرٌ,باهر,فاعل:,بهر,,فاعل,مذكر,,,,1,0,1,0,0,
230,مُتَبَهِّرٌ,متبهر,فاعل:,بهر,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
231,مُنْبَهِرٌ,منبهر,فاعل:,بهر,مُنْفَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
232,مُبَهْرِجٌ,مبهرج,فاعل:,بهرج,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
233,مُتَبَهْرِجٌ,متبهرج,فاعل:,بهرج,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
234,بَاهِظٌ,باهظ,فاعل:,بهظ,,فاعل,مذكر,,,بَوَاهظُ,1,0,1,0,0,
